,title,date,url,data_page_datail,cidade,local,tipo_evento
114,Brasilianische Kunst der Gegenwart,30/10/1996,https://enciclopedia.itaucultural.org.br/evento237350/brasilianische-kunst-der-gegenwart,30.10.1996 - 15.11.1996,"Bayer AG - Feierabendhaus (Dormagen, Alemanha)",,"
            Classificação
            
Exposição

"
115,Arte Brasileira Contemporânea,10/12/1996,https://enciclopedia.itaucultural.org.br/evento82197/arte-brasileira-contemporanea,10.12.1996 - 20.12.1996,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),"
            Classificação
            
Exposição

"
116,Leonilson: são tantas as verdades,1996,https://enciclopedia.itaucultural.org.br/evento249391/leonilson-sao-tantas-as-verdades,1996,Brasil / Rio de Janeiro / Rio de Janeiro , Centro Cultural Banco do Brasil (CCBB Rio),Individual
117,Arte Brasileira Contemporânea: doações recentes/96,1996,https://enciclopedia.itaucultural.org.br/evento225740/arte-brasileira-contemporanea-doacoes-recentes-96,1996,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),Exposição
118,15 Artistas Brasileiros ,26/02/1997,https://enciclopedia.itaucultural.org.br/evento237669/15-artistas-brasileiros,26.02.1997 - 30.03.1997,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),Coletiva
119,Leonilson: são tantas as verdades,20/03/1997,https://enciclopedia.itaucultural.org.br/evento249247/leonilson-sao-tantas-as-verdades,20.03.1997 - 27.04.1997,Brasil / Minas Gerais / Belo Horizonte , Museu de Arte da Pampulha (MAP),Individual
120,1ª Heranças Contemporâneas,08/04/1997,https://enciclopedia.itaucultural.org.br/evento249420/1-herancas-contemporaneas,08.04.1997 - 25.05.1997,Brasil / São Paulo / São Paulo , Museu de Arte Contemporânea da Universidade de São Paulo (MAC/USP),Coletiva
121,25º Salão de Arte Contemporânea de Santo André,08/04/1997,https://enciclopedia.itaucultural.org.br/evento249402/25-salao-de-arte-contemporanea-de-santo-andre,08.04.1997 - 31.05.1997,Brasil / São Paulo / Santo André , Paço Municipal,Coletiva
122,Así está la Cosa: instalación y arte objeto en America Latina ,07/1997,https://enciclopedia.itaucultural.org.br/evento227081/asi-esta-la-cosa-instalacion-y-arte-objeto-en-america-latina,07.1997,México / Distrito Federal / Cidade do México , Centro Cultural Arte Contemporáneo,"
            Classificação
            
Exposição

"
123,"Ar: exposição de artes plásticas, brinquedos, objetos e maquetes ",23/09/1997,https://enciclopedia.itaucultural.org.br/evento221085/ar-exposicao-de-artes-plasticas-brinquedos-objetos-e-maquetes,23.09.1997 - 26.10.1997,Brasil / Rio de Janeiro / Rio de Janeiro , Paço Imperial ,Coletiva
124,Leonilson: o solitário inconformado,14/11/1997,https://enciclopedia.itaucultural.org.br/evento249255/leonilson-o-solitario-inconformado,14.11.1997 - 14.12.1997,Brasil / São Paulo / Americana , Museu de Arte Contemporânea de Americana (MAC),Individual
125,A Arte Contemporânea da Gravura ,18/11/1997,https://enciclopedia.itaucultural.org.br/evento221715/a-arte-contemporanea-da-gravura,18.11.1997 - 22.03.1998,Brasil / Paraná / Curitiba , Museu Municipal de Arte de Curitiba,Exposição
